,data_ref,inad_total,inad_total_L1,inad_total_L2,inad_total_L3,inad_total_L4,inad_total_L5,inad_total_L6,data_alvo,inad_total_h1
65,2024-12-01,2.95,3.14,3.17,3.22,3.21,3.17,3.17,2025-01-01,3.19
66,2025-01-01,3.19,2.95,3.14,3.17,3.22,3.21,3.17,2025-02-01,3.26
67,2025-02-01,3.26,3.19,2.95,3.14,3.17,3.22,3.21,2025-03-01,3.28
68,2025-03-01,3.28,3.26,3.19,2.95,3.14,3.17,3.22,2025-04-01,3.5
69,2025-04-01,3.5,3.28,3.26,3.19,2.95,3.14,3.17,2025-05-01,3.54
70,2025-05-01,3.54,3.5,3.28,3.26,3.19,2.95,3.14,2025-06-01,3.57
71,2025-06-01,3.57,3.54,3.5,3.28,3.26,3.19,2.95,2025-07-01,3.77
72,2025-07-01,3.77,3.57,3.54,3.5,3.28,3.26,3.19,2025-08-01,3.95
73,2025-08-01,3.95,3.77,3.57,3.54,3.5,3.28,3.26,2025-09-01,3.91
74,2025-09-01,3.91,3.95,3.77,3.57,3.54,3.5,3.28,2025-10-01,4.0
75,2025-10-01,4.0,3.91,3.95,3.77,3.57,3.54,3.5,2025-11-01,4.05
76,2025-11-01,4.05,4.0,3.91,3.95,3.77,3.57,3.54,2025-12-01,4.02
