,data,inad_total,saldo_total,concessao_total,juros_total,ipca,selic
73,2025-02-01,3.26,6518695.0,587696.0,30.42,1.31,13.25
74,2025-03-01,3.28,6579532.0,619922.0,31.16,0.56,13.637096774193548
75,2025-04-01,3.5,6630471.0,644258.0,31.41,0.43,14.25
76,2025-05-01,3.54,6665994.0,648124.0,31.59,0.26,14.637096774193548
77,2025-06-01,3.57,6703448.0,641203.0,31.71,0.24,14.85
78,2025-07-01,3.77,6732353.0,649575.0,31.58,0.26,15.0
79,2025-08-01,3.95,6772151.0,642786.0,31.71,-0.11,15.0
80,2025-09-01,3.91,6850359.0,699655.0,31.32,0.48,15.0
81,2025-10-01,4.0,6919371.0,690692.0,31.89,0.09,15.0
82,2025-11-01,4.01,6999002.0,651192.0,32.38,0.18,15.0
83,2025-12-01,4.03,7130222.0,802912.0,32.06,0.33,15.0
