data,data_ref,data_alvo,inad_total_h1,inad_total,inad_total_l1,inad_total_l2,inad_total_l3,inad_total_l4,inad_total_l5,inad_total_l6,copom_score_nltk_t,copom_score_nltk_L1,copom_score_nltk_L2,copom_score_nltk_L3,copom_score_nltk_L4,copom_score_nltk_L5,copom_score_nltk_L6,copom_score_textblob_t,copom_score_textblob_L1,copom_score_textblob_L2,copom_score_textblob_L3,copom_score_textblob_L4,copom_score_textblob_L5,copom_score_textblob_L6,copom_score_bert_t,copom_score_bert_L1,copom_score_bert_L2,copom_score_bert_L3,copom_score_bert_L4,copom_score_bert_L5,copom_score_bert_L6,copom_score_finbert_t,copom_score_finbert_L1,copom_score_finbert_L2,copom_score_finbert_L3,copom_score_finbert_L4,copom_score_finbert_L5,copom_score_finbert_L6,copom_score_mistral_t,copom_score_mistral_L1,copom_score_mistral_L2,copom_score_mistral_L3,copom_score_mistral_L4,copom_score_mistral_L5,copom_score_mistral_L6,copom_score_media_t,copom_score_media_L1,copom_score_media_L2,copom_score_media_L3,copom_score_media_L4,copom_score_media_L5,copom_score_media_L6,estatisticas_score_nltk_t,estatisticas_score_nltk_L1,estatisticas_score_nltk_L2,estatisticas_score_nltk_L3,estatisticas_score_nltk_L4,estatisticas_score_nltk_L5,estatisticas_score_nltk_L6,estatisticas_score_textblob_t,estatisticas_score_textblob_L1,estatisticas_score_textblob_L2,estatisticas_score_textblob_L3,estatisticas_score_textblob_L4,estatisticas_score_textblob_L5,estatisticas_score_textblob_L6,estatisticas_score_bert_t,estatisticas_score_bert_L1,estatisticas_score_bert_L2,estatisticas_score_bert_L3,estatisticas_score_bert_L4,estatisticas_score_bert_L5,estatisticas_score_bert_L6,estatisticas_score_finbert_t,estatisticas_score_finbert_L1,estatisticas_score_finbert_L2,estatisticas_score_finbert_L3,estatisticas_score_finbert_L4,estatisticas_score_finbert_L5,estatisticas_score_finbert_L6,estatisticas_score_mistral_t,estatisticas_score_mistral_L1,estatisticas_score_mistral_L2,estatisticas_score_mistral_L3,estatisticas_score_mistral_L4,estatisticas_score_mistral_L5,estatisticas_score_mistral_L6,estatisticas_score_media_t,estatisticas_score_media_L1,estatisticas_score_media_L2,estatisticas_score_media_L3,estatisticas_score_media_L4,estatisticas_score_media_L5,estatisticas_score_media_L6
2019-07-01,2019-07-01,2019-08-01,3.04,3.06,2.95,3.05,3.02,2.99,2.91,2.95,-0.3954284689852994,-0.36845,-0.4741290199081163,-0.420636736642161,-0.3671444533762057,-0.321211111111111,-0.321211111111111,0.0296302936138002,0.0330555555555555,0.0199400204185809,0.0078766286444459,-0.0041867631296891,0.0300925925925925,0.0300925925925925,0.0308354248834707,0.05,-0.0478560490045941,-0.0251338122836475,-0.0024115755627009,0.1111111111111111,0.1111111111111111,-0.306388799821061,-0.2923466796055436,-0.3042470258339714,-0.32956676837922927,-0.3548865109244871,-0.3126078339086638,-0.3126078339086638,0.3256543564001434,0.06,0.1666539050535987,0.054126791755095195,-0.0584003215434083,0.0055555555555555,0.0055555555555555,-0.06313943878178921,-0.10354822480999762,-0.1279276338549004,-0.14266677938109934,-0.15740592490729824,-0.09741193715210314,-0.09741193715210314,-0.883621828358209,-0.8758914514692787,-0.7041374643874644,-0.880725,-0.864980402930403,-0.80424,-0.9468050620821394,-0.1243781094527363,-0.1780943900267141,-0.0712250712250712,-0.2,-0.1831501831501831,-0.16,-0.1950971028334925,-0.8833955223880597,-1.0,-1.0,-0.875,-1.0,-0.8,-1.0,0.526344695274454,0.2456551331957057,0.0502476059961692,0.2295685783028602,0.1619430395259416,-0.1165732249617576,0.3218221522035093,0.1869402985074627,0.1125556544968833,-0.4109686609686609,0.025,-0.1108058608058608,-0.64,0.2895893027698185,-0.23562209328341766,-0.3391550107606808,-0.42721671811700546,-0.34023128433942795,-0.3993986814721011,-0.5041626449923515,-0.30609814198846086
2019-08-01,2019-08-01,2019-09-01,3.06,3.04,3.06,2.95,3.05,3.02,2.99,2.91,-0.43774967963487355,-0.3954284689852994,-0.36845,-0.4741290199081163,-0.420636736642161,-0.3671444533762057,-0.321211111111111,0.0238811485308257,0.0296302936138002,0.0330555555555555,0.0199400204185809,0.0078766286444459,-0.0041867631296891,0.0300925925925925,-0.0076705771777696025,0.0308354248834707,0.05,-0.0478560490045941,-0.0251338122836475,-0.0024115755627009,0.1111111111111111,-0.2223432191366869,-0.306388799821061,-0.2923466796055436,-0.3042470258339714,-0.32956676837922927,-0.3548865109244871,-0.3126078339086638,0.27884121588016036,0.3256543564001434,0.06,0.1666539050535987,0.054126791755095195,-0.0584003215434083,0.0055555555555555,-0.0730082223076688,-0.06313943878178921,-0.10354822480999762,-0.1279276338549004,-0.14266677938109934,-0.15740592490729824,-0.09741193715210314,-0.8814368421052633,-0.883621828358209,-0.8758914514692787,-0.7041374643874644,-0.880725,-0.864980402930403,-0.80424,-0.1913875598086124,-0.1243781094527363,-0.1780943900267141,-0.0712250712250712,-0.2,-0.1831501831501831,-0.16,-1.0,-0.8833955223880597,-1.0,-1.0,-0.875,-1.0,-0.8,0.0200055211105129,0.526344695274454,0.2456551331957057,0.0502476059961692,0.2295685783028602,0.1619430395259416,-0.1165732249617576,-0.4282296650717703,0.1869402985074627,0.1125556544968833,-0.4109686609686609,0.025,-0.1108058608058608,-0.64,-0.4962097091750266,-0.23562209328341766,-0.3391550107606808,-0.42721671811700546,-0.34023128433942795,-0.3993986814721011,-0.5041626449923515
2019-09-01,2019-09-01,2019-10-01,3.03,3.06,3.04,3.06,2.95,3.05,3.02,2.99,-0.4800708902844477,-0.43774967963487355,-0.3954284689852994,-0.36845,-0.4741290199081163,-0.420636736642161,-0.3671444533762057,0.0181320034478512,0.0238811485308257,0.0296302936138002,0.0330555555555555,0.0199400204185809,0.0078766286444459,-0.0041867631296891,-0.0461765792390099,-0.0076705771777696025,0.0308354248834707,0.05,-0.0478560490045941,-0.0251338122836475,-0.0024115755627009,-0.1382976384523128,-0.2223432191366869,-0.306388799821061,-0.2923466796055436,-0.3042470258339714,-0.32956676837922927,-0.3548865109244871,0.2320280753601773,0.27884121588016036,0.3256543564001434,0.06,0.1666539050535987,0.054126791755095195,-0.0584003215434083,-0.08287700583354837,-0.0730082223076688,-0.06313943878178921,-0.10354822480999762,-0.1279276338549004,-0.14266677938109934,-0.15740592490729824,-0.8678577281191806,-0.8814368421052633,-0.883621828358209,-0.8758914514692787,-0.7041374643874644,-0.880725,-0.864980402930403,-0.186219739292365,-0.1913875598086124,-0.1243781094527363,-0.1780943900267141,-0.0712250712250712,-0.2,-0.1831501831501831,-0.8836126629422719,-1.0,-0.8833955223880597,-1.0,-1.0,-0.875,-1.0,0.3784101859005636,0.0200055211105129,0.526344695274454,0.2456551331957057,0.0502476059961692,0.2295685783028602,0.1619430395259416,-0.2741154562383612,-0.4282296650717703,0.1869402985074627,0.1125556544968833,-0.4109686609686609,0.025,-0.1108058608058608,-0.366679080138323,-0.4962097091750266,-0.23562209328341766,-0.3391550107606808,-0.42721671811700546,-0.34023128433942795,-0.3993986814721011
2019-10-01,2019-10-01,2019-11-01,3.0,3.03,3.06,3.04,3.06,2.95,3.05,3.02,-0.5053589895988112,-0.4800708902844477,-0.43774967963487355,-0.3954284689852994,-0.36845,-0.4741290199081163,-0.420636736642161,-0.0116084695393759,0.0181320034478512,0.0238811485308257,0.0296302936138002,0.0330555555555555,0.0199400204185809,0.0078766286444459,0.0,-0.0461765792390099,-0.0076705771777696025,0.0308354248834707,0.05,-0.0478560490045941,-0.0251338122836475,-0.1878740109398097,-0.1382976384523128,-0.2223432191366869,-0.306388799821061,-0.2923466796055436,-0.3042470258339714,-0.32956676837922927,0.2903046062407132,0.2320280753601773,0.27884121588016036,0.3256543564001434,0.06,0.1666539050535987,0.054126791755095195,-0.08290737276745672,-0.08287700583354837,-0.0730082223076688,-0.06313943878178921,-0.10354822480999762,-0.1279276338549004,-0.14266677938109934,-0.8853273105745212,-0.8678577281191806,-0.8814368421052633,-0.883621828358209,-0.8758914514692787,-0.7041374643874644,-0.880725,-0.1179572578406883,-0.186219739292365,-0.1913875598086124,-0.1243781094527363,-0.1780943900267141,-0.0712250712250712,-0.2,-1.0,-0.8836126629422719,-1.0,-0.8833955223880597,-1.0,-1.0,-0.875,0.2740162134536547,0.3784101859005636,0.0200055211105129,0.526344695274454,0.2456551331957057,0.0502476059961692,0.2295685783028602,-0.237135720233139,-0.2741154562383612,-0.4282296650717703,0.1869402985074627,0.1125556544968833,-0.4109686609686609,0.025,-0.39328081503893875,-0.366679080138323,-0.4962097091750266,-0.23562209328341766,-0.3391550107606808,-0.42721671811700546,-0.34023128433942795
2019-11-01,2019-11-01,2019-12-01,2.94,3.0,3.03,3.06,3.04,3.06,2.95,3.05,-0.48604346538764087,-0.5053589895988112,-0.4800708902844477,-0.43774967963487355,-0.3954284689852994,-0.36845,-0.4741290199081163,-0.014010642332713149,-0.0116084695393759,0.0181320034478512,0.0238811485308257,0.0296302936138002,0.0330555555555555,0.0199400204185809,0.0328256302521008,0.0,-0.0461765792390099,-0.0076705771777696025,0.0308354248834707,0.05,-0.0478560490045941,-0.15104223249126442,-0.1878740109398097,-0.1382976384523128,-0.2223432191366869,-0.306388799821061,-0.2923466796055436,-0.3042470258339714,0.25702205101951625,0.2903046062407132,0.2320280753601773,0.27884121588016036,0.3256543564001434,0.06,0.1666539050535987,-0.07224973178800027,-0.08290737276745672,-0.08287700583354837,-0.0730082223076688,-0.06313943878178921,-0.10354822480999762,-0.1279276338549004,-0.8805026315789474,-0.8853273105745212,-0.8678577281191806,-0.8814368421052633,-0.883621828358209,-0.8758914514692787,-0.7041374643874644,-0.1169590643274853,-0.1179572578406883,-0.186219739292365,-0.1913875598086124,-0.1243781094527363,-0.1780943900267141,-0.0712250712250712,-1.0,-1.0,-0.8836126629422719,-1.0,-0.8833955223880597,-1.0,-1.0,-0.2854785847951445,0.2740162134536547,0.3784101859005636,0.0200055211105129,0.526344695274454,0.2456551331957057,0.0502476059961692,-0.3039473684210526,-0.237135720233139,-0.2741154562383612,-0.4282296650717703,0.1869402985074627,0.1125556544968833,-0.4109686609686609,-0.517377529824526,-0.39328081503893875,-0.366679080138323,-0.4962097091750266,-0.23562209328341766,-0.3391550107606808,-0.42721671811700546
2019-12-01,2019-12-01,2020-01-01,3.0,2.94,3.0,3.03,3.06,3.04,3.06,2.95,-0.4667279411764706,-0.48604346538764087,-0.5053589895988112,-0.4800708902844477,-0.43774967963487355,-0.3954284689852994,-0.36845,-0.0164128151260504,-0.014010642332713149,-0.0116084695393759,0.0181320034478512,0.0238811485308257,0.0296302936138002,0.0330555555555555,0.0656512605042016,0.0328256302521008,0.0,-0.0461765792390099,-0.0076705771777696025,0.0308354248834707,0.05,-0.1142104540427191,-0.15104223249126442,-0.1878740109398097,-0.1382976384523128,-0.2223432191366869,-0.306388799821061,-0.2923466796055436,0.2237394957983193,0.25702205101951625,0.2903046062407132,0.2320280753601773,0.27884121588016036,0.3256543564001434,0.06,-0.061592090808543845,-0.07224973178800027,-0.08290737276745672,-0.08287700583354837,-0.0730082223076688,-0.06313943878178921,-0.10354822480999762,-0.9055864668483196,-0.8805026315789474,-0.8853273105745212,-0.8678577281191806,-0.8814368421052633,-0.883621828358209,-0.8758914514692787,-0.181653042688465,-0.1169590643274853,-0.1179572578406883,-0.186219739292365,-0.1913875598086124,-0.1243781094527363,-0.1780943900267141,-0.9541326067211626,-1.0,-1.0,-0.8836126629422719,-1.0,-0.8833955223880597,-1.0,-0.0199095161088643,-0.2854785847951445,0.2740162134536547,0.3784101859005636,0.0200055211105129,0.526344695274454,0.2456551331957057,-0.0591734786557674,-0.3039473684210526,-0.237135720233139,-0.2741154562383612,-0.4282296650717703,0.1869402985074627,0.1125556544968833,-0.4240910222045158,-0.517377529824526,-0.39328081503893875,-0.366679080138323,-0.4962097091750266,-0.23562209328341766,-0.3391550107606808
2020-01-01,2020-01-01,2020-02-01,3.04,3.0,2.94,3.0,3.03,3.06,3.04,3.06,-0.48036976988223423,-0.4667279411764706,-0.48604346538764087,-0.5053589895988112,-0.4800708902844477,-0.43774967963487355,-0.3954284689852994,-0.0160858831051331,-0.0164128151260504,-0.014010642332713149,-0.0116084695393759,0.0181320034478512,0.0238811485308257,0.0296302936138002,0.001307728083669149,0.0656512605042016,0.0328256302521008,0.0,-0.0461765792390099,-0.0076705771777696025,0.0308354248834707,-0.1918774817023967,-0.1142104540427191,-0.15104223249126442,-0.1878740109398097,-0.1382976384523128,-0.2223432191366869,-0.306388799821061,0.1538515935875106,0.2237394957983193,0.25702205101951625,0.2903046062407132,0.2320280753601773,0.27884121588016036,0.3256543564001434,-0.10663476260371688,-0.061592090808543845,-0.07224973178800027,-0.08290737276745672,-0.08287700583354837,-0.0730082223076688,-0.06313943878178921,-0.856911869225302,-0.9055864668483196,-0.8805026315789474,-0.8853273105745212,-0.8678577281191806,-0.8814368421052633,-0.883621828358209,-0.0710732054015636,-0.181653042688465,-0.1169590643274853,-0.1179572578406883,-0.186219739292365,-0.1913875598086124,-0.1243781094527363,-0.8326226012793176,-0.9541326067211626,-1.0,-1.0,-0.8836126629422719,-1.0,-0.8833955223880597,0.117880560611272,-0.0199095161088643,-0.2854785847951445,0.2740162134536547,0.3784101859005636,0.0200055211105129,0.526344695274454,-0.1520611229566453,-0.0591734786557674,-0.3039473684210526,-0.237135720233139,-0.2741154562383612,-0.4282296650717703,0.1869402985074627,-0.3589576476503113,-0.4240910222045158,-0.517377529824526,-0.39328081503893875,-0.366679080138323,-0.4962097091750266,-0.23562209328341766
2020-02-01,2020-02-01,2020-03-01,3.18,3.04,3.0,2.94,3.0,3.03,3.06,3.04,-0.4940115985879979,-0.48036976988223423,-0.4667279411764706,-0.48604346538764087,-0.5053589895988112,-0.4800708902844477,-0.43774967963487355,-0.0157589510842158,-0.0160858831051331,-0.0164128151260504,-0.014010642332713149,-0.0116084695393759,0.0181320034478512,0.0238811485308257,-0.0630358043368633,0.001307728083669149,0.0656512605042016,0.0328256302521008,0.0,-0.0461765792390099,-0.0076705771777696025,-0.2695445093620743,-0.1918774817023967,-0.1142104540427191,-0.15104223249126442,-0.1878740109398097,-0.1382976384523128,-0.2223432191366869,0.0839636913767019,0.1538515935875106,0.2237394957983193,0.25702205101951625,0.2903046062407132,0.2320280753601773,0.27884121588016036,-0.15167743439888987,-0.10663476260371688,-0.061592090808543845,-0.07224973178800027,-0.08290737276745672,-0.08287700583354837,-0.0730082223076688,-0.4189505566470202,-0.856911869225302,-0.9055864668483196,-0.8805026315789474,-0.8853273105745212,-0.8678577281191806,-0.8814368421052633,-0.1637197118533071,-0.0710732054015636,-0.181653042688465,-0.1169590643274853,-0.1179572578406883,-0.186219739292365,-0.1913875598086124,-0.9734774066797642,-0.8326226012793176,-0.9541326067211626,-1.0,-1.0,-0.8836126629422719,-1.0,-0.0821127677635187,0.117880560611272,-0.0199095161088643,-0.2854785847951445,0.2740162134536547,0.3784101859005636,0.0200055211105129,-0.4181401440733464,-0.1520611229566453,-0.0591734786557674,-0.3039473684210526,-0.237135720233139,-0.2741154562383612,-0.4282296650717703,-0.4112801174033914,-0.3589576476503113,-0.4240910222045158,-0.517377529824526,-0.39328081503893875,-0.366679080138323,-0.4962097091750266
2020-03-01,2020-03-01,2020-04-01,3.29,3.18,3.04,3.0,2.94,3.0,3.03,3.06,-0.482277061132922,-0.4940115985879979,-0.48036976988223423,-0.4667279411764706,-0.48604346538764087,-0.5053589895988112,-0.4800708902844477,-0.0545273259799339,-0.0157589510842158,-0.0160858831051331,-0.0164128151260504,-0.014010642332713149,-0.0116084695393759,0.0181320034478512,-0.130959057767807,-0.0630358043368633,0.001307728083669149,0.0656512605042016,0.0328256302521008,0.0,-0.0461765792390099,-0.5483706274617774,-0.2695445093620743,-0.1918774817023967,-0.1142104540427191,-0.15104223249126442,-0.1878740109398097,-0.1382976384523128,-0.4064778463264161,0.0839636913767019,0.1538515935875106,0.2237394957983193,0.25702205101951625,0.2903046062407132,0.2320280753601773,-0.3245223837337713,-0.15167743439888987,-0.10663476260371688,-0.061592090808543845,-0.07224973178800027,-0.08290737276745672,-0.08287700583354837,-0.8872314197051978,-0.4189505566470202,-0.856911869225302,-0.9055864668483196,-0.8805026315789474,-0.8853273105745212,-0.8678577281191806,-0.1551590380139643,-0.1637197118533071,-0.0710732054015636,-0.181653042688465,-0.1169590643274853,-0.1179572578406883,-0.186219739292365,-1.0,-0.9734774066797642,-0.8326226012793176,-0.9541326067211626,-1.0,-1.0,-0.8836126629422719,0.2426880707890604,-0.0821127677635187,0.117880560611272,-0.0199095161088643,-0.2854785847951445,0.2740162134536547,0.3784101859005636,0.0273079906904577,-0.4181401440733464,-0.1520611229566453,-0.0591734786557674,-0.3039473684210526,-0.237135720233139,-0.2741154562383612,-0.35447887924792887,-0.4112801174033914,-0.3589576476503113,-0.4240910222045158,-0.517377529824526,-0.39328081503893875,-0.366679080138323
2020-04-01,2020-04-01,2020-05-01,3.24,3.29,3.18,3.04,3.0,2.94,3.0,3.03,-0.409107280566461,-0.482277061132922,-0.4940115985879979,-0.48036976988223423,-0.4667279411764706,-0.48604346538764087,-0.5053589895988112,0.03185092034336634,-0.0545273259799339,-0.0157589510842158,-0.0160858831051331,-0.0164128151260504,-0.014010642332713149,-0.0116084695393759,-0.19047952888390352,-0.130959057767807,-0.0630358043368633,0.001307728083669149,0.0656512605042016,0.0328256302521008,0.0,-0.5750330650521598,-0.5483706274617774,-0.2695445093620743,-0.1918774817023967,-0.1142104540427191,-0.15104223249126442,-0.1878740109398097,-0.45636392316320806,-0.4064778463264161,0.0839636913767019,0.1538515935875106,0.2237394957983193,0.25702205101951625,0.2903046062407132,-0.3198265754644732,-0.3245223837337713,-0.15167743439888987,-0.10663476260371688,-0.061592090808543845,-0.07224973178800027,-0.08290737276745672,-0.8426602573807721,-0.8872314197051978,-0.4189505566470202,-0.856911869225302,-0.9055864668483196,-0.8805026315789474,-0.8853273105745212,-0.1514004542013626,-0.1551590380139643,-0.1637197118533071,-0.0710732054015636,-0.181653042688465,-0.1169590643274853,-0.1179572578406883,-1.0,-1.0,-0.9734774066797642,-0.8326226012793176,-0.9541326067211626,-1.0,-1.0,0.3148752845891446,0.2426880707890604,-0.0821127677635187,0.117880560611272,-0.0199095161088643,-0.2854785847951445,0.2740162134536547,-0.3688115064345193,0.0273079906904577,-0.4181401440733464,-0.1520611229566453,-0.0591734786557674,-0.3039473684210526,-0.237135720233139,-0.4095993866855019,-0.35447887924792887,-0.4112801174033914,-0.3589576476503113,-0.4240910222045158,-0.517377529824526,-0.39328081503893875
